id,model,make,year,mileage_kms,transmission,price,engine_capacity,seat_capacity,colour,power_hp,peak_torque_nm,fuel_tanks_litres,dimension
6198297,911,Porsche,2006,77500,Automatic,298000.0,3600,4,White,480.0,620.0,67.0,10713.82
6296797,360,Ferrari,2004,42500,Manual,329000.0,3586,2,Red,544.0,373.0,95.0,10446.219916
6605719,Almera,Nissan,2016,40000,Automatic,36900.0,1498,5,White,102.0,139.0,41.0,11250.5625
6604566,Bezza,Perodua,2017,37500,Automatic,28800.0,998,5,Silver,68.0,91.0,36.0,10151.73
6417268,Myvi,Perodua,2011,77500,Manual,20800.0,1298,5,Grey,91.0,117.0,40.0,9492.24825
6387699,Preve,Proton,2014,77500,Automatic,25800.0,1561,5,Blue,140.0,205.0,50.0,12365.428152
6112248,Vios,Toyota,2011,142500,Automatic,36800.0,1497,5,Silver,109.0,141.0,42.0,10672.6
6387447,Vios,Toyota,2010,82500,Automatic,33800.0,1497,5,Grey,109.0,141.0,42.0,10672.6
6387578,Estima,Toyota,2008,127500,Automatic,68800.0,2362,7,Silver,170.0,220.0,65.0,15104.25
6111740,Persona,Proton,2011,97500,Automatic,17800.0,1597,5,Blue,111.0,148.0,50.0,11105.42235
6329076,C200,Mercedes-Benz,2017,52500,Automatic,179800.0,1991,4,Black,184.0,300.0,50.0,11950.65894
5947368,Viva,Perodua,2009,147500,Automatic,16800.0,989,5,White,61.0,90.0,36.0,8067.88125
5847086,Civic,Honda,2006,132500,Automatic,41800.0,1998,5,Silver,155.0,188.0,50.0,11401.075
6403281,Grand Livina,Nissan,2008,82500,Automatic,29800.0,1798,7,Silver,126.0,174.0,52.0,11876.982
6417449,Accord,Honda,2010,77500,Automatic,45800.0,2354,5,Grey,181.0,222.0,70.0,13457.199375
6344400,Swift,Suzuki,2011,82500,Automatic,24800.0,1490,5,Blue,101.0,133.0,43.0,9595.144
6387973,Persona,Proton,2012,87500,Automatic,18800.0,1597,5,Unknown,111.0,148.0,50.0,11105.42235
6417377,Vellfire,Toyota,2008,87500,Automatic,95800.0,3456,7,Silver,280.0,344.0,65.0,16843.869
6156332,Vios,Toyota,2008,147500,Automatic,29800.0,1497,5,Blue,109.0,141.0,42.0,10672.6
