,make,id,model,year,mileage_kms,transmission,price,engine_capacity,seat_capacity,colour,power_hp,peak_torque_nm,length,width,height,fuel_tanks_litres,country
7964,Toyota,6643369,Innova,2018,20000.0,Automatic,106800.0,1998.0,7.0,White,139.0,183.0,4735.0,1830.0,1795.0,55.0,Japan
7965,Toyota,6643477,Camry,2015,84000.0,Automatic,94800.0,1998.0,5.0,Silver,148.0,190.0,4825.0,1825.0,1470.0,70.0,Japan
7966,Honda,6643596,Accord,2016,76000.0,Automatic,106800.0,1997.0,5.0,White,155.0,190.0,4870.0,1850.0,1465.0,65.0,Japan
7967,Subaru,6476774,BRZ,2013,67500.0,Automatic,99888.0,1998.0,4.0,Blue,200.0,205.0,4240.0,1775.0,1425.0,50.0,Japan
7968,Audi,6498258,A5,2010,62500.0,Automatic,58888.0,1984.0,4.0,Black,211.0,350.0,4625.0,1854.0,1372.0,55.0,Germany
7969,Volkswagen,6515899,Passat,2019,7500.0,Automatic,106888.0,1798.0,5.0,Grey,179.0,250.0,4767.0,1832.0,1456.0,66.0,Germany
7970,Honda,6541617,Accord,2006,72500.0,Automatic,20888.0,1998.0,5.0,Black,204.0,186.0,4830.0,1820.0,1455.0,65.0,Japan
7971,Honda,6647423,CR-V,2011,72500.0,Automatic,40888.0,1997.0,5.0,White,150.0,190.0,4520.0,1820.0,1680.0,58.0,Japan
7972,Toyota,6627977,Wish,2011,72500.0,Automatic,56888.0,1797.0,7.0,White,143.0,173.0,4590.0,1695.0,1590.0,60.0,Japan
7973,Mercedes-Benz,6475113,C200 CGI,2014,62500.0,Automatic,77888.0,1796.0,5.0,Grey,186.0,270.0,4591.0,1770.0,1447.0,66.0,Germany
7974,Mazda,6474393,2,2018,57500.0,Automatic,60888.0,1496.0,5.0,White,116.0,148.0,4060.0,1695.0,1495.0,44.0,Japan
7975,BMW,6515911,X1,2012,67500.0,Automatic,48888.0,1995.0,5.0,Bronze,150.0,200.0,4454.0,1798.0,1545.0,63.0,Germany
7976,Honda,6557458,CR-V,2011,97500.0,Automatic,42800.0,1997.0,5.0,Brown,150.0,190.0,4520.0,1820.0,1680.0,58.0,Japan
7977,Honda,6652568,City,2017,62500.0,Automatic,54800.0,1497.0,5.0,Silver,120.0,145.0,4440.0,1695.0,1477.0,40.0,Japan
7978,Toyota,6642397,Vios,2016,72500.0,Automatic,51800.0,1496.0,5.0,White,107.0,140.0,4410.0,1700.0,1475.0,42.0,Japan
7979,Toyota,6422157,Vios,2016,52500.0,Automatic,51800.0,1497.0,5.0,Silver,109.0,141.0,4410.0,1700.0,1475.0,42.0,Japan
7980,Honda,6191314,Accord,2010,82500.0,Automatic,42800.0,2354.0,5.0,White,181.0,222.0,4945.0,1845.0,1475.0,70.0,Japan
7981,Honda,6590079,City,2015,67500.0,Automatic,52800.0,1497.0,5.0,Blue,120.0,145.0,4440.0,1695.0,1477.0,40.0,Japan
7982,Nissan,6627313,Almera,2014,92500.0,Automatic,28988.0,1498.0,5.0,Grey,102.0,139.0,4425.0,1695.0,1510.0,41.0,Japan
7983,Perodua,6627335,Axia,2017,17500.0,Automatic,31988.0,998.0,5.0,Black,68.0,91.0,3640.0,1620.0,1510.0,33.0,Malaysia
7984,Proton,6389580,Persona,2009,122500.0,Automatic,12988.0,1597.0,5.0,Grey,111.0,148.0,4477.0,1725.0,1438.0,55.0,Malaysia
7985,Nissan,6305760,Teana,2011,147500.0,Automatic,33988.0,2496.0,5.0,Grey,182.0,228.0,4850.0,1795.0,1480.0,70.0,Japan
7986,Toyota,6187810,Avanza,2009,102500.0,Automatic,26800.0,1495.0,7.0,Grey,109.0,141.0,4120.0,1635.0,1695.0,45.0,Japan
7987,Perodua,6642184,Alza,2013,72500.0,Automatic,35800.0,1495.0,7.0,White,103.0,136.0,4205.0,1695.0,1620.0,42.0,Malaysia
7988,Kia,6642175,Rio,2014,27500.0,Automatic,38800.0,1396.0,5.0,Red,109.0,137.0,4045.0,1720.0,1455.0,43.0,Japan
7989,Land Rover,5785028,Range Rover,1997,87500.0,Automatic,13999.0,4554.0,5.0,Green,218.0,400.0,4713.0,1889.0,1819.0,100.0,UK
7990,Hyundai,6601993,Matrix,2006,92500.0,Automatic,8888.0,1599.0,5.0,Gold,103.0,141.0,4025.0,1740.0,1635.0,55.0,Japan
7991,BMW,6548504,520i,2012,87500.0,Automatic,86800.0,1997.0,5.0,Brown,184.0,270.0,4899.0,1860.0,1464.0,55.0,Germany
7992,Proton,6653853,Persona,2011,97500.0,Automatic,16999.0,1597.0,5.0,White,111.0,148.0,4477.0,1725.0,1438.0,50.0,Malaysia
7993,Perodua,6484300,Myvi,2010,72500.0,Automatic,18800.0,1298.0,5.0,Orange,87.0,116.0,3720.0,1665.0,1550.0,40.0,Malaysia
7994,Honda,6561984,City,2014,62500.0,Automatic,48800.0,1497.0,5.0,White,120.0,145.0,4440.0,1695.0,1477.0,40.0,Japan
7995,Honda,6560749,CR-Z,2012,72500.0,Automatic,42800.0,1496.0,4.0,Black,124.0,167.0,4080.0,1740.0,1395.0,40.0,Japan
7996,Proton,6416391,Saga,2012,67500.0,Automatic,17800.0,1597.0,5.0,Red,111.0,148.0,4278.0,1680.0,1520.0,40.0,Malaysia
7997,Proton,5987698,Preve,2013,67500.0,Automatic,20800.0,1561.0,5.0,Silver,140.0,205.0,4543.0,1786.0,1524.0,50.0,Malaysia
7998,BMW,6482367,740Li,2016,27500.0,Automatic,339800.0,2998.0,5.0,Grey,326.0,450.0,5238.0,1902.0,1479.0,78.0,Germany
7999,Toyota,5600265,Hilux,2005,82500.0,Automatic,19999.0,2494.0,5.0,Black,102.0,260.0,5255.0,1835.0,1810.0,76.0,Japan
8000,Toyota,6066885,Avanza,2008,117500.0,Manual,13000.0,1298.0,7.0,Green,92.0,120.0,4070.0,1630.0,1690.0,45.0,Japan
8001,Nissan,6532637,Teana,2012,72500.0,Automatic,26999.0,1997.0,5.0,Silver,136.0,190.0,4850.0,1795.0,1480.0,70.0,Japan
8002,Toyota,6503311,Vios,2009,82500.0,Automatic,26999.0,1497.0,5.0,Black,109.0,141.0,4300.0,1700.0,1460.0,42.0,Japan
8003,Nissan,5733372,Serena,2014,72500.0,Automatic,61999.0,1997.0,8.0,White,147.0,210.0,4770.0,1735.0,1865.0,60.0,Japan
8004,Volkswagen,6503276,Passat,2013,72500.0,Automatic,39999.0,1798.0,5.0,Gold,160.0,250.0,4769.0,1820.0,1470.0,70.0,Germany
8005,Honda,6249102,CR-V,2014,57500.0,Automatic,61000.0,1997.0,5.0,Silver,155.0,190.0,4545.0,1820.0,1685.0,58.0,Japan
8006,Honda,6165985,Accord,2010,97500.0,Automatic,35555.0,2354.0,5.0,Silver,181.0,222.0,4945.0,1845.0,1475.0,70.0,Japan
8007,MINI,6576893,Cooper,2006,72500.0,Automatic,39999.0,1598.0,4.0,Black,170.0,220.0,3655.0,1688.0,1416.0,55.0,UK
8008,Mercedes-Benz,6641976,C200K,2009,77500.0,Automatic,49999.0,1796.0,5.0,White,184.0,250.0,4581.0,1770.0,1444.0,66.0,Germany
8009,Toyota,6618314,Harrier,2015,72500.0,Automatic,132999.0,1986.0,5.0,Black,151.0,193.0,4720.0,1835.0,1690.0,55.0,Japan
8010,BMW,6651606,330e,2018,57500.0,Automatic,145888.0,1998.0,5.0,Grey,184.0,290.0,4633.0,1811.0,1429.0,60.0,Germany
