link,Engine Capacity,Seat Capacity,Colour
https://www.carlist.my/used-cars/2013-mercedes-benz-b200-cgi-blueefcy-a-w246-local-cbu-turbo-7-g-dct-full-spec-brand-new-from-c-c-mercedes-malaysia/6654617,1595 cc,5,White
https://www.carlist.my/used-cars/2016-toyota-alphard-3-5-a-local-mil-28k/6607798,3456 cc,7,Blue
https://www.carlist.my/used-cars/2015-mercedes-benz-c200-2-0-avantgarde-sedan/6601974,1991 cc,5,Blue
https://www.carlist.my/used-cars/2017-mercedes-benz-c200-2-0-avantgarde-sedan-9-speed-under-warranty/6562262,1991 cc,5,Black
https://www.carlist.my/used-cars/2010-mercedes-benz-c180k-1-8-amg-sedan-tip-top-condition/6420250,1796 cc,5,Silver
https://www.carlist.my/used-cars/2009-toyota-vellfire-3-5-vl-mpv-coll-box-full-spec/6471171,3456 cc,7,Black
https://www.carlist.my/used-cars/2013-toyota-vellfire-3-5-v-l-edition-mpv-face-lift-low-mileage/6478133,3456 cc,7,White
https://www.carlist.my/used-cars/2011-toyota-alphard-2-4-prime-mpv-face-lift-alpine-home-theater/6132551,2362 cc,7,Black
https://www.carlist.my/used-cars/2015-toyota-vellfire-2-5-z-g-edition-a-zg-jbl/6652137,2493 cc,7,Black
https://www.carlist.my/used-cars/2010-mercedes-benz-c200-cgi-1-8-elegance-sedan-tip-top-condition/6420104,1796 cc,5,Blue
https://www.carlist.my/used-cars/2016-bmw-318i-1-5-luxury-sedan-f-service-under-warranty/6421346,1499 cc,5,White
https://www.carlist.my/used-cars/2009-mercedes-benz-c200k-1-8-elegance-sedan-ckd-car-king-condition/6447542,1796 cc,5,Grey
https://www.carlist.my/used-cars/2017-mercedes-benz-e200-2-0-avantgarde-sedan-digital-tab-under-warranty/6272058,1991 cc,5,Black
https://www.carlist.my/used-cars/2017-honda-cr-v-1-5-vtec-premium-f-service/6619448,1498 cc,5,White
https://www.carlist.my/used-cars/2014-porsche-911-3-8-turbo-s-coupe/6619475,3800 cc,4,Green
https://www.carlist.my/used-cars/2015-mercedes-benz-s400l-3-5-hybrid-sedan/6641945,3498 cc,5,Grey
https://www.carlist.my/used-cars/2016-mercedes-benz-c200-a-w205-7g-tronic-avantgarde-high-spec-brand-new-by-mercedes-c-c-malaysia-mileage-28k-km/6654252,1991 cc,5,Grey
https://www.carlist.my/used-cars/2012-kia-optima-k5-2-0-sedan/6537405,1998 cc,5,Silver
https://www.carlist.my/used-cars/2017-bmw-x5-2-0-xdrive40e-m-sport-suv/6687774,1997 cc,5,White
https://www.carlist.my/used-cars/2017-bmw-330e-2-0-m-sport-sedan/6687818,1998 cc,5,White
https://www.carlist.my/used-cars/2016-bmw-740li-g12-by-ingress-auto/6382546,2998 cc,5,Gold
