make,id,model,year,mileage_kms,transmission,price,engine_capacity,seat_capacity,colour,power_hp,peak_torque_nm,fuel_tanks_litres,dimension
Honda,6578724,Accord,2010,77500,Automatic,39800.0,1997,5,White,156.0,189.0,70.0,13457.199375
BMW,5751979,520d,2013,62500,Automatic,91800.0,1995,5,Black,184.0,380.0,70.0,15018.452784000001
Perodua,6424719,Myvi,2009,82500,Automatic,15800.0,1298,5,White,87.0,116.0,40.0,9677.8125
Audi,6527743,A4,2009,87500,Automatic,41800.0,1798,5,Grey,160.0,250.0,65.0,12254.616506
Volkswagen,6475031,Tiguan,2011,77500,Automatic,44800.0,1984,5,Silver,211.0,280.0,64.0,13635.297702000002
Kia,6638647,Sportage,2012,62500,Automatic,44800.0,1998,5,Grey,166.0,197.0,55.0,13271.85
Proton,6503403,Exora,2015,77500,Automatic,34800.0,1561,7,Silver,140.0,205.0,55.0,14047.015248
Perodua,6661472,Viva,2011,72500,Automatic,16800.0,989,5,Blue,61.0,90.0,36.0,8067.88125
Proton,6661010,Iswara,2004,72500,Manual,4800.0,1298,5,Black,84.0,109.0,45.0,9250.788
Proton,5558210,Saga,2010,77500,Automatic,9800.0,1332,5,Purple,95.0,120.0,40.0,10741.94352
Nissan,6502574,Grand Livina,2012,72500,Automatic,33800.0,1598,7,Silver,105.0,150.0,52.0,11876.982
Perodua,6643563,Myvi,2009,92500,Automatic,15800.0,1298,5,Gold,87.0,116.0,40.0,9677.8125
Toyota,6631522,Avanza,2009,82500,Automatic,23800.0,1495,7,Black,109.0,141.0,45.0,11417.858999999999
Proton,6285189,Preve,2012,57500,Automatic,23800.0,1561,5,Red,140.0,205.0,50.0,12365.428152
Perodua,6452826,Alza,2014,77500,Automatic,36800.0,1495,7,Purple,103.0,136.0,42.0,11724.993
Nissan,6502424,Grand Livina,2012,82500,Automatic,33800.0,1598,7,White,105.0,150.0,52.0,11876.982
Honda,6371913,City,2014,57500,Automatic,49800.0,1497,5,Grey,120.0,145.0,40.0,11115.6066
Mercedes-Benz,6508392,A200,2014,82500,Automatic,96800.0,1595,5,Blue,156.0,250.0,50.0,10947.77608
Mercedes-Benz,6497403,CLA200,2016,62500,Automatic,132800.0,1595,5,White,156.0,250.0,50.0,11781.79432
